Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Zandvoort,Zandvoort,1936.??.??,11,"Spielmann, Rudolf","Euwe, Max",1/2-1/2,,,C01,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4d5 e6d5 f1d3 b8c6 g1e2 g8e7 e1g1 c8f5 e2g3 f5d3 d1d3 e8g8 c3e2 d8d7 c2c3 b4d6 c1f4 a7a6 f1e1 a8e8 d3f3 c6d8 f4d6 d7d6 e2f4 d8e6 f4d3 c7c6 e1e3 d6d8 a1e1 e7c8 d3c5 e6c5 d4c5 e8e3 f3e3 d8d7 h2h3 f7f6 e3f4 c8e7 f4d6 d7d6 c5d6 e7g6 g3f5 f8d8 f2f4 g8f8 g2g3 d8d7 h3h4 f8f7
Bad Nauheim/Stuttgart/Garmisch,Bad Nauheim,1937.??.??,1,"Saemisch, Fritz","Euwe, Max",0-1,,,D18,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 e8g8 f3e5 c6c5 g2g4 f5g6 c3a2 b4a5 e5g6 h7g6 d4c5 b8c6 a1b1 c6b4 a2b4 a5b4 d1f3 d8e7 b2b3 a8c8 c1b2 c8c5 h2h3 f6h7 f3g3 h7f6 f2f3 f6d5 b2d4 c5a5 c4d5 a5d5 d4a7 e6e5 e3e4 d5d2 a7f2 f8c8 b1c1 c8c2 c1c2 d2c2 g1h1 b4c5 f2c5 e7c5 f1d1 g6g5 g3e1 c2f2 d1d2 f2f3 h1g2 f3b3 e1f1 g7g6 f1f6 b3g3 g2g3 c5e3 f6f3 e3d2 f3b3 d2f4 g3g2 f4e4 g2f2 e4f4 f2g2 e5e4 b3b7 f4f3 g2h2 f3f2 h2h1 f2f1 h1h2 e4e3
Bad Nauheim/Stuttgart/Garmisch,Bad Nauheim,1937.??.??,2,"Bogoljubow, Efim","Euwe, Max",1/2-1/2,,,D12,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 b1c3 e7e6 c4d5 c6d5 d1b3 d8c8 c1d2 b8c6 a1c1 f8e7 f3h4 f5g4 h2h3 g4h5 g2g4 h5g6 h4g6 h7g6 f1g2 c8d7 g4g5 f6h7 f2f4 c6a5 b3b5 a5c4 g2f1 a8c8 h1g1 d7b5 c3b5 a7a6 b5c3 c4d2 e1d2 h7f8 f1g2 f8d7 e3e4 d5e4 c3e4 e7b4 d2e3 e8e7 e4f2 b4d6 c1c8 h8c8 f2d3 b7b5 g1c1 c8c1 d3c1 d7b6 c1d3 b6c4 e3e2 d6c7 b2b3 c4d6 d3e5 d6f5 d4d5 e6d5 g2d5 f5d4 e2e3 d4e6 e5c6 e7d7 d5e6 d7e6 e3e4 f7f5 g5f6 g7f6 c6d4 e6d6 f4f5 g6g5 d4c2 c7a5 b3b4 a5b6
Bad Nauheim/Stuttgart/Garmisch,Bad Nauheim,1937.??.??,3,"Euwe, Max","Alekhine, Alexander",1-0,,,D29,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 e7e6 f1c4 c7c5 e1g1 a7a6 d1e2 b7b5 c4b3 c8b7 a2a4 b8d7 f1d1 f8e7 d4c5 e8g8 b3c2 e7c5 f3e5 b5b4 e5d7 f6d7 b1d2 f7f5 d2b3 b7d5 b3d4 c5d4 d1d4 b4b3 c2d3 d7b8 d3c4 b8c6 d4d2 d8b6 c4d5 e6d5 d2d5 c6b4 d5d1 b4c2 a1b1 b6c6 c1d2 c6a4 d2c3 a4b5 e2f3 a8d8 f3g3 d8d7 d1d6 f8f7 b1d1 f5f4 e3f4 a6a5 f4f5 a5a4 f5f6 g7g6 h2h4 d7d6 g3d6 h7h5 d6e6
Bad Nauheim/Stuttgart/Garmisch,Bad Nauheim,1937.??.??,4,"Euwe, Max","Saemisch, Fritz",1-0,,,E38,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 c7c5 d4c5 b8c6 g1f3 b4c5 c1g5 b7b6 e2e3 c8b7 f1e2 c5e7 e1g1 a8c8 f1d1 a7a6 a1c1 c6a5 f3e5 d8c7 b2b4 e7b4 g5f6 g7f6 e5d7 b4d6 d7f6 e8e7 c3e4 b7e4 f6e4 d6h2 g1h1 h2e5 f2f4 e5g7 c2d2 a5b7 d2e1 b7c5 e1h4 f7f6 e4c3 h8d8 f4f5 c7e5 f5e6 d8d1 e2d1 c5e6 c3d5 e7f8 d1g4 c8c6 g4e6 c6e6 h4h7 e5g5 c1f1 f8f7 e3e4 e6c6 f1f5 g5h6 h7h6 g7h6 e4e5 c6c4 f5f6 f7g7 f6b6 c4a4 e5e6 a4a2 e6e7 a2e2 b6a6 h6g5 a6a8 g5e7 a8a7
Bad Nauheim/Stuttgart/Garmisch,Bad Nauheim,1937.??.??,5,"Euwe, Max","Bogoljubow, Efim",0-1,,,E36,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3 b4e7 c1g5 h7h6 g5h4 b8d7 e2e3 e8g8 g1f3 c7c6 a1d1 f6e8 h4g3 e8d6 c4c5 d6f5 g3f4 b7b6 b2b4 b6c5 b4c5 d8a5 f1d3 f5h4 f3h4 e7h4 f4d6 f8e8 e1g1 e6e5 d3h7 g8h8 h7f5 e5d4 e3d4 d7f8 f5c8 a8c8 d1d3 h4f6 f1d1 f8e6 c3e2 e6d4 d3d4 f6d4 d1d4 a5e1
Bad Nauheim/Stuttgart/Garmisch,Bad Nauheim,1937.??.??,6,"Alekhine, Alexander","Euwe, Max",1/2-1/2,,,C83,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8e7 c1f4 e8g8 f3d4 c6a5 f2f3 e4c5 b3c2 c5d7 b1d2 c7c5 d4f5 f7f6 e5f6 e6f5 c2f5 f8f6 g2g4 d7f8 f4g3 f6f7 d2b3 a5c4 d1e2 e7d6 a1e1 d6g3 h2g3 d8d6 f3f4 a6a5 e2f2 f7c7 e1d1 a5a4 f5e4 f8g6 b3c1 a8d8 e4f3 d5d4 c3d4 c5d4 c1e2 d4d3
World Championship 17th,NLD,1937.??.??,1,"Euwe, Max","Alekhine, Alexander",1-0,,,D17,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 b8d7 e5c4 d8c7 g2g3 e7e5 d4e5 d7e5 c1f4 f6d7 f1g2 f7f6 e1g1 a8d8 d1c1 f5e6 c3e4 f8b4 a4a5 e8g8 a5a6 b7a6 c4e5 d7e5 e4c5 b4c5 c1c5 g7g5 f4e3 e6d5 a1a6 d5g2 g1g2 f8f7 f1a1 c7d6 c5d6 d8d6 a6a7 f7a7 a1a7 e5c4 e3c5 d6e6 c5d4 e6e2 d4f6 g5g4 g2f1 e2c2 a7g7 g8f8 g7g4 c4b2 f6b2 c2b2 g4c4 b2b6 f1e2 f8f7 c4h4 f7g6 h4f4 b6b3 f4c4 b3b6 e2e3 g6f5 g3g4 f5e6 f2f4 e6d5 c4d4 d5e6 f4f5 e6e7 d4e4 e7f7 h2h4 b6b1 e3f4 b1c1 e4a4 h7h6 a4a7 f7g8 g4g5 c1c4 f4e5
World Championship 17th,NLD,1937.??.??,2,"Alekhine, Alexander","Euwe, Max",1-0,,,D17,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 e7e6 c1g5 f8b4 e5c4 d8d5 g5f6 d5c4 d1d2 g7f6 e2e4 c4b3 e4f5 b8d7 f5e6 f7e6 f1e2 e8c8 e1g1 e6e5 d4e5 d7e5 d2c1 b4c3 b2c3 h8g8 c1e3 c8b8 g2g3 d8d7 a1b1 b3c2 f1e1 c2d2 e3d2 d7d2 f2f4 e5g6 e2c4 g8d8 e1e6 d8d6 b1e1 b8c7 e6d6 d2d6 h2h4 c7d7 g1f2 g6e7 f2f3 e7d5 c4d3 h7h6 d3f5 d7d8 f3g4 d5e7 f5b1 d8e8 g4h5 e8f7 b1a2 f7f8 h5h6 d6d2 a2e6 d2d3 g3g4 d3c3 g4g5
World Championship 17th,NLD,1937.??.??,3,"Euwe, Max","Alekhine, Alexander",1/2-1/2,,,D46,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 e2e3 b8d7 f1d3 f8b4 e1g1 e8g8 a2a3 b4c3 b2c3 d8c7 f3d2 e6e5 c1b2 e5e4 d3e2 b7b5 c4b5 c6b5 a3a4 b5a4 c3c4 d5c4 d2c4 d7b6 c4b6 a7b6 a1a4 c8b7 a4a8 f8a8 d1b1 a8e8 f1c1 c7d6 b1c2 h7h6 c2c7 d6c7 c1c7 e8c8 c7c8 b7c8 f2f3 c8b7 g1f2 f6e8 b2a3 b7d5 a3e7 f7f5 f3e4 f5e4 e7d8 e8d6 d8b6 d6c4 b6c7 g8f7 h2h4 g7g5 e2h5 f7e7 h5g4 d5b7 c7e5 c4e5 d4e5 g5h4 f2g1 b7a6 g1h2 e7f7 h2h3 a6f1 g4f5 f7e7 h3h2 f1e2 h2h3 e2f1 f5e4 e7e6 h3h4 e6e5 e4f3 e5f6 h4h5 f6g7 e3e4 f1d3 e4e5 d3g6 h5g4 g7f7 f3d5 f7e7 g4f4 g6h7 g2g3 e7f8 d5e4 h7g8 e4f3 f8e7 f4g4 e7e6 g4f4 e6e7 f3g4 g8b3 g4c8 e7f7
World Championship 17th,NLD,1937.??.??,4,"Alekhine, Alexander","Euwe, Max",1/2-1/2,,,D17,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 e7e6 f2f3 f8b4 c1g5 c6c5 d4c5 d8d5 d1d5 e6d5 e2e4 d5e4 e5c4 e8g8 g5f6 g7f6 e1c1 e4f3 c3d5 b8c6 g2f3 b4c5 d5f6 g8h8 d1d5 c6d4 f6e4 f5e4 f3e4 a8d8 c4e5 d8d5 e4d5 f8e8 e5f7 h8g7 f7g5 h7h6 g5e6 d4e6 d5e6 e8e6 f1c4
World Championship 17th,NLD,1937.??.??,5,"Euwe, Max","Alekhine, Alexander",1-0,,,D28,d2d4 d7d5 c2c4 d5c4 g1f3 a7a6 e2e3 g8f6 f1c4 e7e6 e1g1 c7c5 d1e2 b8c6 b1c3 b7b5 c4b3 f8e7 d4c5 e7c5 e3e4 b5b4 e4e5 b4c3 e5f6 g7f6 e2c4 d8b6 c4c3 c6d4 f3d4 c5d4 b3a4 e8e7 c1e3 d4c3 e3b6 c3e5 a1d1 e7f8 f2f4 e5b2 f1f3 c8b7 f3g3 b2a3 g3a3 h8g8 a3g3 g8g3 h2g3 b7d5 a4b3 d5b3 a2b3 f8e8 b3b4 a8b8 b6c5 b8c8 d1a1 c8c6 g1f2 f6f5 f2e3 f7f6 e3d4 e8f7 d4c4 f7g6 a1d1 g6h5 d1d6 c6d6 c5d6 h5g4 d6e7 g4g3 e7f6 g3f4 c4c5
World Championship 17th,NLD,1937.??.??,6,"Alekhine, Alexander","Euwe, Max",1-0,,,D10,d2d4 d7d5 c2c4 c7c6 b1c3 d5c4 e2e4 e7e5 f1c4 e5d4 g1f3 b7b5 c3b5 c8a6 d1b3 d8e7 e1g1 a6b5 c4b5 g8f6 b5c4 b8d7 f3d4 a8b8 b3c2 e7c5 d4f5 d7e5 c1f4 f6h5 c4f7 e8f7 c2c5 f8c5 f4e5 b8b5 e5d6 c5b6 b2b4 h8d8 a1d1 c6c5 b4c5 b6c5 d1d5
World Championship 17th,NLD,1937.??.??,7,"Euwe, Max","Alekhine, Alexander",0-1,,,D18,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 b8d7 e1g1 f8d6 d1e2 f6e4 c3e4 f5e4 f3d2 e4g6 e3e4 d6c7 c4b3 e8g8 f2f4 d7f6 b3c2 d8d4 g1h1 d4b4 g2g4 a8d8 f4f5 e6f5 e4f5 f8e8 e2g2 b4g4 f5g6 h7g6 c2d1 g4g2 h1g2 d8d4 d2f3 d4g4 g2h3 e8d8 c1g5 g4b4 g5d2 b4e4 d1b3 e4e2 d2c3 d8d3 h3h4 d3f3 f1f3 e2h2 f3h3 g6g5 h4g5 h2h3 b3d1 f6e4
World Championship 17th,NLD,1937.??.??,8,"Alekhine, Alexander","Euwe, Max",1-0,,,E34,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c4d5 d8d5 e2e3 c7c5 a2a3 b4c3 b2c3 b8d7 f2f3 c5d4 c3d4 d7b6 g1e2 c8d7 e2f4 d5d6 c1d2 a8c8 c2b2 f6d5 f4d5 e6d5 d2b4 d6e6 e1f2 b6a4 b2d2 b7b6 f1a6 c8b8 e3e4 b6b5 d2f4 b8b6 e4d5 e6d5 h1e1 d7e6 a1c1 f7f6 c1c7 e8d8 c7a7
World Championship 17th,NLD,1937.??.??,9,"Euwe, Max","Alekhine, Alexander",1/2-1/2,,,D18,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 b8d7 d1e2 f6e4 c4d3 b4c3 b2c3 e4c3 e2c2 f5d3 c2d3 c3d5 c1a3 a7a5 a1b1 d5b4 a3b4 a5b4 b1b4 e8g8 d3c2 d8c7 f1b1 f8b8 e3e4 a8a5 e4e5 h7h6 f3d2 c6c5 d2b3 a5a8 b4c4 b7b6 f2f4 c7c6 d4c5 b6c5 b1a1 c6b6 a1a3 b6a7 c2f2 d7b6 c4c5 b6a4 c5c1 a7f2 g1f2 b8b4 g2g3 a8d8 f2e2 a4b6 b3d2 g7g5 f4g5 h6g5 a3d3 b6d5 c1c4 b4c4 d2c4 d8a8 c4e3 d5e3 d3e3
World Championship 17th,NLD,1937.??.??,10,"Alekhine, Alexander","Euwe, Max",1-0,,,E34,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c4d5 d8d5 e2e3 c7c5 a2a3 b4c3 b2c3 b8c6 g1f3 e8g8 c3c4 d5d6 c1b2 c5d4 e3d4 b7b6 f1d3 c8b7 e1g1 a8c8 c2e2 d6f4 a1d1 f8e8 h2h3 c6a5 f3e5 b7e4 f1e1 e4d3 e2d3 e8d8 b2c1 f4h4 d3e2 d8e8 g2g4 a5c6 g1g2 c6e5 d4e5 f6h5 g4h5 c8c4 e2f3 e8f8 h5h6 f7f5 f3g3 h4g3 f2g3 f8c8 h6g7 c4c2 g2f3 c2c3 c1e3 c3a3 d1d7 c8c4 f3f2 c4c2 e1e2 a3a2 e2c2 a2c2 f2f3 a7a5 e3h6 c2c8 d7a7
World Championship 17th,NLD,1937.??.??,11,"Euwe, Max","Alekhine, Alexander",1/2-1/2,,,D17,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 e7e6 c1g5 f8b4 f2f3 h7h6 g5f6 g7f6 e5c4 c6c5 d4c5 d8d1 a1d1 f5c2 d1c1 c2b3 c4d2 b4c3 c1c3 b3a4 e2e4 e8e7 f1d3 h8d8 e1e2 b8c6 e2e3 c6b4 d3b1 a4b5 d2b3 f6f5 b3a5 b7b6 c5b6 a7b6 a5c4 a8a1 c4a3 b5a6 c3b3 b4d3 e4f5 d3b2 b3b2 a1a3 e3f2 d8d6 f5e6 d6e6
World Championship 17th,NLD,1937.??.??,12,"Alekhine, Alexander","Euwe, Max",1/2-1/2,,,E34,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c4d5 d8d5 e2e3 c7c5 a2a3 b4c3 b2c3 e8g8 g1f3 c5d4 c3d4 b7b6 f1c4 d5c6 c4d3 c6c2 d3c2 c8a6 f3e5 b8d7 e5d7 f6d7 c1b2 a8c8 a1c1 f8d8 f2f3 e6e5 e1f2 e5d4 b2d4 d7c5 h1d1 c5e6 c2b3 c8c1 d1c1 e6d4 e3d4 d8c8 c1d1 c8c3 d4d5
World Championship 17th,NLD,1937.??.??,13,"Euwe, Max","Alekhine, Alexander",1-0,,,D18,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 b8d7 d1e2 f6e4 e1g1 f8b4 c4d3 b4c3 d3e4 c3b4 e4f5 e6f5 d4d5 c6d5 e2b5 d8a5 b5b7 a8b8 b7c6 a5c5 f3d4 b8b6 c6c5 d7c5 a4a5 b6a6 d4c2 b4a5 b2b4 a5b4 c1b2 b4a5 b2g7 h8g8 g7e5 c5b3 a1a4 a6g6 e5g3 a5b6 a4f4 h7h5 f4h4 a7a5 h4h5 g6c6 c2a3 d5d4 e3d4 b3d4 f1e1 e8d7 g1f1 c6c3 a3b1 c3c2 e1d1 d7c6 h5h6 g8g6 h6h8 c6b7 h8f8 g6g7 g3e5 d4f3 f8b8 b7a7 d1d7 b6c7 d7c7 a7b8 c7c2 f3e5 c2c5 f7f6 c5a5 g7c7 b1d2 c7c2 a5d5 b8c7 f1e2 c2b2 h2h3 c7c6 d5d4 c6c5 e2e3 e5g6 d4d8 g6e7 e3d3 b2b7 d3e3 b7b2 d8d3 e7d5 e3f3 d5b4 d3c3 c5d4 c3b3 b2b3 d2b3 d4e5 g2g3 b4c6 h3h4 c6d8 b3c5 d8f7 c5d3 e5d4 d3e1 d4e5 e1d3 e5e6 f3f4 f7d6 d3c5 e6f7 c5b3
World Championship 17th,NLD,1937.??.??,14,"Alekhine, Alexander","Euwe, Max",1-0,,,E02,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 g1f3 d5c4 d1a4 b8d7 a4c4 c7c5 f1g2 d7b6 c4d3 c5d4 e1g1 f8e7 f3d4 e8g8 b1c3 e6e5 d4f5 e7b4 d3c2 b4c3 b2c3 c8f5 c2f5 d8c7 c1h6 b6d7 f5g5 f6e8 a1b1 d7c5 g5g4 a8d8 h6g5 d8d6 g4c4 b7b6 f2f4 d6g6 b1d1 e5e4 g5h4 b6b5 c4b4 a7a5 b4a3 f7f5 h4d8 c7a7 g1h1 g6a6 d1d5 c5e6 f1d1 e6d8 d5d8 a7f7 d1d5 a6c6 d5b5 f7c4 b5f5 c6f6 f5f6 g7f6 d8d4 c4e2 a3b3 g8h8 d4e4 e2d2 b3b1 d2c3 b1e1 c3e1 e4e1 e8d6 g2c6 f8b8 e1e6 b8b1 h1g2 b1b2 g2h3 d6f5 e6f6 f5e7 c6e4 h8g7 f6e6 g7f7 e6h6 b2a2 h6h7 f7f6 h7h6 f6f7 h6a6
World Championship 17th,NLD,1937.??.??,15,"Euwe, Max","Alekhine, Alexander",1/2-1/2,,,D19,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 b8d7 d1e2 f5g6 c4d3 g6d3 e2d3 e8g8 f1d1 d8e7 e3e4 e6e5 c1g5 h7h6 g5f6 e7f6 d4d5 f8d8 d5c6 b7c6 c3a2 b4e7 b2b4 a7a5 d3c3 a5b4 a2b4 d7c5 d1d8 a8d8 c3c4 c5e4 b4c6 e4d2 f3d2 d8d2 c6e7 f6e7 a4a5 e7f6 a1f1 f6d8 a5a6 d2d4 c4a2 d4d5 a2c4 d5a5 f1b1 d8a8 c4c7 a8a6 b1b8 g8h7 h2h3 a5a1 g1h2 a6f6 c7c2 g7g6 b8b3 f6f4 g2g3 f4a4 c2d3 a1a2 h2g2 a4a7 d3e3 a7c7 e3f3 h7g7 f3d5 a2a5 b3b5 a5b5 d5b5 c7c3 b5e8 c3d4 e8c6 d4d3 c6c5 d3e4 g2g1 g6g5 g3g4 e4d4 c5c2 d4f4 g1g2 h6h5 g4h5 e5e4 c2d1 g7h6 d1d4 f4f3 g2g1 h6h5 d4h8 h5g6 h8g8 g6f6 g8d8 f6f5 d8c8 f5e5 c8b8
World Championship 17th,NLD,1937.??.??,16,"Alekhine, Alexander","Euwe, Max",1/2-1/2,,,E02,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 d1a4 b8d7 g1f3 c7c5 b1c3 a7a6 e1g1 f8e7 d4c5 e7c5 a4c4 b7b5 c4h4 c8b7 c1g5 e8g8 a1d1 d8c7 d1c1 c7b6 b2b4 c5e7 f1d1 b7c6 g5e3 b6b7 d1d7 c6d7 f3g5 b7b8 g2a8 b8a8 g5h7 f8c8 h7g5 c8c4 c3e4 c4c1 e3c1 a8d5 e4c3 d5e5 c1b2 d7c6 a2a3 e7d6 e2e3 e5f5 e3e4 f5g6 f2f3 f6d7 g5h3 f7f6 h3f4 g6f7 h4g4 d7e5 g4e6 e5f3 g1f2 f7e6 f4e6 f3d2 e6d4 d2e4 c3e4 c6e4 f2e3 e4b7 d4f5 d6c7 b2d4 g8f7 d4c5 f7g6 c5d6 c7d8 f5d4 b7d5 h2h3 d8b6 d6c5 b6c7 d4e2 d5c4 e2f4 g6f7 h3h4 g7g5 h4g5 f6g5 f4h3 f7f6 h3f2 f6f5 g3g4 f5e6 f2h3 e6f6 c5d4 f6g6 e3e4 c4f1 h3f2 f1g2 e4d3 g2d5 f2d1 d5f3 d1f2 c7f4 d4e3 f4g3 d3d4 g3b8 d4d3 b8e5 e3d4 e5f4 d4e3
World Championship 17th,NLD,1937.??.??,17,"Euwe, Max","Alekhine, Alexander",1-0,,,D19,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 e8g8 d1e2 f6e4 c4d3 b4c3 b2c3 e4c3 e2c2 f5d3 c2d3 c3d5 c1a3 f8e8 a1b1 b7b6 f1c1 a7a5 f3e5 d5b4 a3b4 a5b4 e5c6 b8c6 c1c6 e6e5 b1b4 e5d4 b4d4 d8b8 d3b5 e8c8 g2g3 c8c6 b5c6 h7h6 d4b4 a8a6 c6b5 b8a8 b4d4 a8c8 d4e4 g8h7 e4e7 a6a5 b5b6 c8c1 g1g2 a5f5 b6d4 c1c2 e3e4 f5f6 e7e5 f6c6 a4a5 c2e2 d4d5 c6c1 d5f7 e2f1 g2f3 f1d1 f3f4 d1d2 f4g4
World Championship 17th,NLD,1937.??.??,18,"Alekhine, Alexander","Euwe, Max",1/2-1/2,,,D41,g1f3 d7d5 c2c4 e7e6 d2d4 g8f6 b1c3 c7c5 c4d5 f6d5 e2e4 d5c3 b2c3 c5d4 c3d4 f8b4 c1d2 b4d2 d1d2 e8g8 f1c4 b8c6 e1g1 b7b6 f1d1 c8b7 d2f4 a8c8 d4d5 e6d5 c4d5 d8e7 f3g5 c6e5 d5b7 e5g6 f4f5 e7b7 d1d7 b7a6 h2h4 c8c5 d7d5 c5d5 e4d5 a6c8 f5e4 f8e8 e4a4 e8e7 d5d6 e7d7 a1d1 g6f8 a4f4 c8c6 g5e4 c6c2 d1c1 c2a2 h4h5 h7h6 e4g3 f8e6 f4e5 a2a6 g3f5 a6d3 g1h2 g8h7 c1c3 d3d1 f2f3 d1d2 c3c4 d2g5 c4h4 g5f6 e5e4 e6c5 e4c2 a7a5 g2g3 a5a4 h4g4 g7g6 f5h4 f6d6 h5g6 f7g6 g4d4 d6e6 d4d7 c5d7 c2a4 h6h5 a4c2 d7e5 h2g2 e5c4 h4g6
World Championship 17th,NLD,1937.??.??,19,"Euwe, Max","Alekhine, Alexander",1/2-1/2,,,E21,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 f6e4 d1c2 d7d5 e2e3 c7c5 f1d3 e4f6 c4d5 e6d5 d4c5 b4c5 e1g1 b8c6 e3e4 c5e7 e4e5 f6g4 f1e1 c6b4 d3b5 e8f8 c2e2 e7c5 c3d1 c8f5 h2h3 h7h5 c1g5 d8b6 f3h4 f5e4 h3g4 b4c2 d1c3 c2d4 e2f1 h5g4 c3a4 b6c7 e1e4 d5e4 f1c4 a8c8 a1c1 b7b6 a4c5 b6c5 b5a6 c7e5 a6c8 e5g5 c4c5 g5c5 c1c5 h8h4 c5c4 d4e2 g1f1 e2f4 f1g1 g4g3 c8a6 g3f2 g1f2 h4h6 c4e4 h6a6 e4f4 a6a2 f4b4 g7g6 b4b7 f8g7 f2f3 g6g5 b2b4 g7g6 b4b5 f7f5 b5b6 a2a3 f3f2 a7a6 b7b8 a3b3 b6b7 g6g7 b8a8 b3b7 a8a6
World Championship 17th,NLD,1937.??.??,20,"Alekhine, Alexander","Euwe, Max",1/2-1/2,,,E34,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c4d5 d8d5 e2e3 c7c5 c1d2 b4c3 b2c3 e8g8 g1f3 b8c6 c3c4 d5d6 d4c5 d6c5 a1b1 e6e5 f3g5 h7h6 g5e4 f6e4 c2e4 f8d8 b1b5 c5e7 f1e2 b7b6 e2f3 c8b7 e4c2 a8c8 e1g1 b7a6 b5d5 c6b4 d2b4 e7b4 d5d8 c8d8 f1c1 d8d2 c2b3 b4a5 a2a3 g7g6 h2h4 e5e4 f3e4 a5h5 b3c3 h5e2 c3f6 a6c4 e4g6 d2d1 c1d1 e2d1 g1h2 f7g6 f6g6 g8f8 g6h6 f8g8 h6g6 g8f8 g6h6 f8g8 h6g5 g8f8 g5f4 c4f7 f4b8 f8g7 b8a7
World Championship 17th,NLD,1937.??.??,21,"Euwe, Max","Alekhine, Alexander",0-1,,,E18,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8b4 c1d2 b4e7 b1c3 f6e4 e1g1 e8g8 d4d5 e4d2 d1d2 e7f6 a1d1 d7d6 d5e6 f7e6 f3d4 b7g2 g1g2 d8c8 d2e3 f6d4 d1d4 b8c6 d4e4 f8f6 f2f4 c8d7 g3g4 a8f8 g4g5 f6f5 h2h4 d7f7 f1f3 g8h8 e3d3 d6d5 e4e6 c6b4 d3e3 b4c2 e3d2 f7e6 c4d5 e6f7 d2c2 f5f4 c2d3 f7h5 f3f4 f8f4 d3h3 f4g4 g2f2 h7h6
World Championship 17th,NLD,1937.??.??,22,"Alekhine, Alexander","Euwe, Max",1-0,,,A09,g1f3 d7d5 c2c4 d5d4 e2e3 b8c6 e3d4 c6d4 f3d4 d8d4 b1c3 g8f6 d2d3 c7c6 c1e3 d4d7 d3d4 g7g6 f1e2 f8g7 h2h3 e8g8 e1g1 b7b6 e2f3 c8b7 a2a4 a8d8 a4a5 d7c7 d1b3 f6d7 a5b6 a7b6 a1a7 d8a8 f1a1 e7e6 a7a8 b7a8 d4d5 c6d5 c4d5 d7c5 b3c4 e6d5 f3d5 a8d5 c3d5 c7e5 a1b1 c5a4 b2b3 a4b2 c4c6 b6b5 e3f4 e5e6 c6b5 e6e4 b1c1 b2d3 b5c4 e4e2 c1f1 d3f4 c4f4 e2b5 f4f3 f8b8 f1b1 b5a6 b1d1 a6a3 d1b1 a3a2 f3d3 g7d4 b1f1 a2b2 d5e7 g8f8 e7c6 d4f2 g1h2 b8e8 d3f3 e8e2 c6d4 e2d2 d4e6 f8e7 e6f4 b2d4 h2h1 d2a2 f4e2 a2a1 f3b7 e7f6 e2d4 a1f1 h1h2 f2g1 h2g3 g1f2 g3f3 f2d4 f3e4 f1d1 b7d5 f6e7 g2g4 h7h5 g4h5 f7f5 e4f3 d1d3 f3e2 d3e3 e2d2 e3e4 h5g6
